Grievance Subject,Hostel,Transaction Mode,Bank used by Payee,Transaction Number,Account Number of Payee,Grievance Description,Attached Documents,Days till response
Not Reqd,N,CHEQUE,ICICI,1761066513,9.5571E+11,Not Reqd,Not Reqd,12
Not Reqd,I,CHEQUE,HDFC,1893755115,9.19483E+11,Not Reqd,Not Reqd,15
Not Reqd,I,NEFT,HDFC,1775178520,9.46425E+11,Not Reqd,Not Reqd,1
Not Reqd,L,PAYTM,HDFC,1010544585,9.24271E+11,Not Reqd,Not Reqd,5
Not Reqd,B,NEFT,HDFC,1296796242,9.90537E+11,Not Reqd,Not Reqd,2
Not Reqd,H,CHEQUE,ICICI,1701715302,9.15368E+11,Not Reqd,Not Reqd,8
Not Reqd,PG,CHEQUE,ICICI,1612845749,9.02984E+11,Not Reqd,Not Reqd,6
Not Reqd,A,DD,ICICI,1831049838,9.22215E+11,Not Reqd,Not Reqd,9
Not Reqd,L,CHEQUE,SBI,1546496994,9.98344E+11,Not Reqd,Not Reqd,9
Not Reqd,I,NEFT,SBI,1566630364,9.53576E+11,Not Reqd,Not Reqd,12
Not Reqd,H,CHALLAN,ICICI,1972069453,9.95948E+11,Not Reqd,Not Reqd,10
Not Reqd,N,NEFT,ICICI,1386028918,9.87567E+11,Not Reqd,Not Reqd,6
Not Reqd,N,CHEQUE,HDFC,1321337058,9.26862E+11,Not Reqd,Not Reqd,7
Not Reqd,K,CHALLAN,SBI,1538166021,9.72961E+11,Not Reqd,Not Reqd,12
Not Reqd,PG,NEFT,ICICI,1461823103,9.4338E+11,Not Reqd,Not Reqd,1
Not Reqd,K,DD,ICICI,1861695090,9.43849E+11,Not Reqd,Not Reqd,11
Not Reqd,B,DD,SBI,1977635728,9.0424E+11,Not Reqd,Not Reqd,13
Not Reqd,E,PAYTM,SBI,1185236196,9.44588E+11,Not Reqd,Not Reqd,15
Not Reqd,N,CHEQUE,HDFC,1804805964,9.53179E+11,Not Reqd,Not Reqd,11
Not Reqd,H,CHEQUE,SBI,1576723475,9.71684E+11,Not Reqd,Not Reqd,9
Not Reqd,K,DD,ICICI,1011221546,9.60558E+11,Not Reqd,Not Reqd,15
Not Reqd,I,NEFT,HDFC,1562372372,9.81555E+11,Not Reqd,Not Reqd,10
Not Reqd,B,NEFT,HDFC,1717884256,9.07245E+11,Not Reqd,Not Reqd,10
Not Reqd,H,NEFT,ICICI,1597378377,9.06471E+11,Not Reqd,Not Reqd,9
Not Reqd,L,PAYTM,SBI,1008882757,9.29512E+11,Not Reqd,Not Reqd,8
Not Reqd,M,CHEQUE,HDFC,1194255569,9.15962E+11,Not Reqd,Not Reqd,10
Not Reqd,N,DD,HDFC,1603047509,9.58527E+11,Not Reqd,Not Reqd,9
Not Reqd,I,DD,SBI,1301725943,9.8294E+11,Not Reqd,Not Reqd,4
Not Reqd,L,PAYTM,HDFC,1083466337,9.9352E+11,Not Reqd,Not Reqd,6
Not Reqd,K,CHEQUE,ICICI,1483147745,9.63558E+11,Not Reqd,Not Reqd,9
Not Reqd,I,NEFT,HDFC,1439543637,9.44784E+11,Not Reqd,Not Reqd,6
Not Reqd,L,CHEQUE,SBI,1743766226,9.30302E+11,Not Reqd,Not Reqd,2
Not Reqd,K,CHEQUE,SBI,1898419493,9.84896E+11,Not Reqd,Not Reqd,1
Not Reqd,L,CHALLAN,ICICI,1521696939,9.7053E+11,Not Reqd,Not Reqd,14
Not Reqd,J,PAYTM,SBI,1298763252,9.67358E+11,Not Reqd,Not Reqd,4
Not Reqd,I,DD,ICICI,1974176721,9.1401E+11,Not Reqd,Not Reqd,12
Not Reqd,PG,PAYTM,ICICI,1175443079,9.85643E+11,Not Reqd,Not Reqd,8
Not Reqd,L,CHEQUE,HDFC,1315497669,9.44765E+11,Not Reqd,Not Reqd,5
Not Reqd,A,NEFT,HDFC,1917428707,9.43247E+11,Not Reqd,Not Reqd,14
Not Reqd,A,CHEQUE,ICICI,1148066016,9.35567E+11,Not Reqd,Not Reqd,15
Not Reqd,G,PAYTM,SBI,1442432731,9.12939E+11,Not Reqd,Not Reqd,13
Not Reqd,N,NEFT,ICICI,1736345795,9.77906E+11,Not Reqd,Not Reqd,7
Not Reqd,A,NEFT,HDFC,1692638623,9.79E+11,Not Reqd,Not Reqd,7
Not Reqd,H,CHEQUE,HDFC,1940754922,9.19731E+11,Not Reqd,Not Reqd,3
Not Reqd,B,PAYTM,SBI,1758688106,9.64703E+11,Not Reqd,Not Reqd,8
Not Reqd,E,CHEQUE,SBI,1225648659,9.48852E+11,Not Reqd,Not Reqd,15
Not Reqd,G,CHALLAN,SBI,1507346424,9.68666E+11,Not Reqd,Not Reqd,13
Not Reqd,I,CHEQUE,SBI,1907181731,9.97933E+11,Not Reqd,Not Reqd,5
Not Reqd,H,NEFT,ICICI,1995870785,9.50138E+11,Not Reqd,Not Reqd,1
